ACT7 Q8RWS0_ARATH 0.643
ACT7 HMGB11 0.648
ACT7 HMGB15 0.648
ACT7 HMGB10 0.648
ACT7 HMGB9 0.648
ACT7 COR15A 0.652
ACT7 ARP5 0.668
ACT7 RIN1 0.7
ACT7 F24B9.25 0.708
ACT7 LTI65 0.717
ACT7 HSP70-4 0.753
ACT7 RD29A 0.774
ACT7 T6J4.12 0.884
ACT7 F10A5.19 0.885
ACT7 HTR11 0.886
ACT7 HTR2 0.888
ACT7 HTR4 0.89
ACT7 MGH3 0.89
ACT7 T24H18.80 0.893
ACT7 HTR12 0.904
AIP1 PYR1 0.971
AIP1 DREB2A 0.473
AIP1 CML10 0.624
AIP1 CAM7 0.579
AIP1 LTI65 0.643
AIP1 MYC2 0.496
AIP1 CP1 0.599
AIP1 GOLS2 0.426
AIP1 NCED3 0.723
AP2 ZAT6 0.417
AP2 GPX6 0.513
AP2 PYR1 0.474
AP2 HSFA2 0.541
AP2 DREB2A 0.798
AP2 CML10 0.762
AP2 COR47 0.549
AP2 HSFC1 0.4
AP2 COR15B 0.4
AP2 HDA6 0.411
AP2 SIZ1 0.431
AP2 RCD1 0.491
AP2 HSFA3 0.542
AP2 APX3 0.598
AP2 HOS1 0.599
AP2 PP2CA 0.6
AP2 WRKY18 0.637
AP2 LTI65 0.655
AP2 NAC019 0.664
AP2 MYB96 0.68
AP2 RD22 0.708
AP2 MYB15 0.735
AP2 COR15A 0.74
AP2 NCED3 0.741
AP2 Atmyb2 0.76
AP2 WRKY40 0.76
AP2 CP1 0.762
AP2 CAM7 0.763
AP2 WRKY33 0.797
AP2 DREB1A 0.822
AP2 MYC2 0.822
APX1 GPX6 0.806
APX1 HSFA4A 0.814
APX1 T5K18.140 0.42
APX1 HSFA2 0.766
APX1 HSFA1B 0.666
APX1 DREB2A 0.601
APX1 CAM1 0.4
APX1 CAM2 0.409
APX1 HSP18.1 0.478
APX1 HSFA1A 0.504
APX1 CLPB1 0.559
APX1 CAM7 0.427
APX1 HSFA7A 0.442
APX1 HSFB2A 0.458
APX1 HSFA5 0.46
APX1 CP1 0.484
APX1 NHX1 0.506
APX1 NHX7 0.565
APX1 HSFA3 0.595
APX1 HSFB1 0.596
APX1 ZAT10 0.712
APX1 ZAT7 0.72
APX1 MBF1C 0.734
APX1 HSP70-4 0.741
APX1 ZAT12 0.794
APX2 GOLS1 0.812
APX2 GPX6 0.559
APX2 HSFA4A 0.579
APX2 HSFA2 0.912
APX2 HSFA1B 0.821
APX2 DREB2A 0.599
APX2 HSP18.1 0.853
APX2 HSP90-1 0.751
APX2 HSP21 0.868
APX2 HSFA1A 0.714
APX2 CLPB1 0.808
APX2 RD29A 0.572
APX2 HSFA6A 0.501
APX2 NHX1 0.407
APX2 HSFC1 0.416
APX2 HSFA9 0.443
APX2 HSFA7B 0.47
APX2 HSFA7A 0.496
APX2 GOLS2 0.549
APX2 HSFA1E 0.573
APX2 HSP26.5 0.575
APX2 MBF1C 0.589
APX2 HSFA6b 0.626
APX2 HSFB2B 0.634
APX2 HSFB1 0.648
APX2 HSFB2A 0.684
APX2 ZAT12 0.739
APX2 HSFA1D 0.793
APX2 ZAT10 0.795
APX2 HSA32 0.803
APX2 HSP70-4 0.807
APX2 HSFA3 0.826
APX3 GPX6 0.933
APX3 HSFA4A 0.498
APX3 HSFA2 0.617
APX3 CBL4 0.545
APX3 HSFA1B 0.404
APX3 DREB2A 0.515
APX3 CAM1 0.603
APX3 CAM2 0.601
APX3 CML10 0.61
APX3 CLPB1 0.528
APX3 P5CSA 0.649
APX3 CAM7 0.621
APX3 CAM6 0.603
